Scaffolds	Split Site 1	Split Site 2	Supporting Split Reads	Supporting Read Pairs(first in pair)
BACT_183|gi|197304092|ref|NZ_ABQC02000012.1|	89508	95952	SRR2193539.2537181.1,SRR2193539.2846234.1,SRR2193539.4318015.1,SRR2193539.1931883.2,SRR2193539.2252949.2,SRR2193539.3436438.2,SRR2193539.3692178.2,SRR2193539.3909007.2	SRR2193539.696669,SRR2193539.772299,SRR2193539.3909007,SRR2193539.1931883
BACT_53|gi|163813818|ref|NZ_ABFK02000016.1|	97123	114913	SRR2193539.3515093.1,SRR2193539.4572261.1,SRR2193539.1797999.2,SRR2193539.4572261.2	SRR2193539.2646263,SRR2193539.1797999,SRR2193539.3218037
BACT_53|gi|163813822|ref|NZ_ABFK02000020.1|	510138	511403	SRR2193539.1920382.1,SRR2193539.2428571.1,SRR2193539.2805258.1,SRR2193539.1415376.2,SRR2193539.1920382.2,SRR2193539.605766.2	SRR2193539.1415376
BACT_183|gi|197304099|ref|NZ_ABQC02000019.1|	218067	219572	SRR2193539.1012229.1,SRR2193539.2247857.1,SRR2193539.2356811.1,SRR2193539.3180294.1,SRR2193539.3471309.1,SRR2193539.4254509.1,SRR2193539.899194.1,SRR2193539.1095515.2,SRR2193539.1313921.2,SRR2193539.2356811.2,SRR2193539.2823608.2,SRR2193539.2906709.2,SRR2193539.3660279.2,SRR2193539.4011113.2	SRR2193539.2804059,SRR2193539.49222,SRR2193539.3660279,SRR2193539.2906709,SRR2193539.1095515
BACT_183|gi|197304103|ref|NZ_ABQC02000023.1|	342945	344400	SRR2193539.1189075.1,SRR2193539.2017840.1,SRR2193539.2480905.1,SRR2193539.2792871.1,SRR2193539.2955171.1,SRR2193539.3860607.1,SRR2193539.4554995.1,SRR2193539.1189075.2,SRR2193539.1863959.2,SRR2193539.2302037.2,SRR2193539.2856388.2,SRR2193539.294894.2,SRR2193539.3212470.2,SRR2193539.3871248.2,SRR2193539.4051404.2	SRR2193539.2302037,SRR2193539.3212470,SRR2193539.3145334,SRR2193539.1182949,SRR2193539.283255,SRR2193539.155020,SRR2193539.2856388
BACT_183|gi|197304092|ref|NZ_ABQC02000012.1|	154577	170381	SRR2193539.1899645.1,SRR2193539.1944012.1,SRR2193539.2698951.1,SRR2193539.345378.1,SRR2193539.2556648.2,SRR2193539.345378.2,SRR2193539.3598135.2,SRR2193539.4189247.2	SRR2193539.4524589,SRR2193539.3598135,SRR2193539.1260724,SRR2193539.2556648
BACT_183|gi|197304104|ref|NZ_ABQC02000024.1|	601344	602848	SRR2193539.1342772.1,SRR2193539.1769308.1,SRR2193539.1893962.1,SRR2193539.2082335.1,SRR2193539.2155112.1,SRR2193539.2188768.1,SRR2193539.2210400.1,SRR2193539.3023952.1,SRR2193539.3194367.1,SRR2193539.3254549.1,SRR2193539.4145328.1,SRR2193539.4315877.1,SRR2193539.4662327.1,SRR2193539.570605.1,SRR2193539.1065334.2,SRR2193539.128926.2,SRR2193539.2082335.2,SRR2193539.2210400.2,SRR2193539.3254549.2,SRR2193539.3876856.2,SRR2193539.498467.2,SRR2193539.570605.2	SRR2193539.4738401,SRR2193539.3194276,SRR2193539.1065334
BACT_183|gi|197304096|ref|NZ_ABQC02000016.1|	175775	189021	SRR2193539.1217576.1,SRR2193539.1419154.1,SRR2193539.2160658.1,SRR2193539.2196202.1,SRR2193539.3328574.1,SRR2193539.4200123.1,SRR2193539.450361.1,SRR2193539.587226.1,SRR2193539.1419154.2,SRR2193539.2196202.2,SRR2193539.3078686.2,SRR2193539.450361.2,SRR2193539.984004.2	SRR2193539.2520095,SRR2193539.278561,SRR2193539.415584,SRR2193539.3078686,SRR2193539.2467094
BACT_183|gi|197304099|ref|NZ_ABQC02000019.1|	405910	407414	SRR2193539.25003.1,SRR2193539.322878.1,SRR2193539.638085.1,SRR2193539.892896.1,SRR2193539.1634665.2,SRR2193539.281679.2,SRR2193539.3679103.2,SRR2193539.3765690.2,SRR2193539.4071130.2,SRR2193539.4081342.2,SRR2193539.4161961.2,SRR2193539.4473264.2,SRR2193539.4490737.2,SRR2193539.4658008.2	SRR2193539.2635264,SRR2193539.4588685
BACT_183|gi|197304083|ref|NZ_ABQC02000003.1|	84760	86264	SRR2193539.1176502.1,SRR2193539.1308190.1,SRR2193539.2019508.1,SRR2193539.2350748.1,SRR2193539.2076399.2,SRR2193539.3538276.2,SRR2193539.3680147.2	SRR2193539.2248401
BACT_183|gi|197304103|ref|NZ_ABQC02000023.1|	109289	110794	SRR2193539.1156272.1,SRR2193539.1576754.1,SRR2193539.2064849.1,SRR2193539.2117961.2,SRR2193539.2689857.2,SRR2193539.3664496.2	SRR2193539.2117961,SRR2193539.1528800,SRR2193539.3664496,SRR2193539.1079446,SRR2193539.2075722
BACT_183|gi|197304104|ref|NZ_ABQC02000024.1|	231114	232619	SRR2193539.1139087.2,SRR2193539.2397313.2,SRR2193539.3736422.2,SRR2193539.4603426.2,SRR2193539.76490.2	SRR2193539.504402,SRR2193539.1919153,SRR2193539.4290855
