Scaffolds	Split Site 1	Split Site 2	Supporting Split Reads	Supporting Read Pairs(first in pair)
BACT_194|gi|163805994|ref|NZ_ABFZ02000020.1|	659146	660471	SRR2189226.473608.1,SRR2189226.2958887.2,SRR2189226.4379717.2,SRR2189226.53952.2	SRR2189226.2166419,SRR2189226.605837,SRR2189226.394353,SRR2189226.2958887
BACT_539|gi|238922432|ref|NC_012781.1|	1636183	1637336	SRR2189226.219227.1,SRR2189226.4257055.1,SRR2189226.3151324.2,SRR2189226.5144673.2	SRR2189226.5144673
BACT_194|gi|163805994|ref|NZ_ABFZ02000020.1|	325232	326695	SRR2189226.4762872.1,SRR2189226.580525.1,SRR2189226.1872388.2,SRR2189226.3792615.2,SRR2189226.580525.2,SRR2189226.812563.2	
BACT_196|gi|150002608|ref|NC_009614.1|	1646547	1649077	SRR2189226.1280396.1,SRR2189226.1428638.1,SRR2189226.1583816.1,SRR2189226.1697446.1,SRR2189226.201150.1,SRR2189226.2477157.1,SRR2189226.3078995.1,SRR2189226.3084705.1,SRR2189226.4336946.1,SRR2189226.4975941.1,SRR2189226.5199841.1,SRR2189226.1881941.2,SRR2189226.401617.2,SRR2189226.4936025.2,SRR2189226.5199841.2,SRR2189226.5202386.2,SRR2189226.5221880.2	SRR2189226.5019261,SRR2189226.5221880
BACT_1002|gi|224993784|ref|NZ_ACFY01000093.1|	10027	11134	SRR2189226.3583667.1,SRR2189226.5248083.1,SRR2189226.1324304.2,SRR2189226.5127012.2	
BACT_1312|gi|293371863|ref|NZ_ADMO01000094.1|	15204	17309	SRR2189226.1078066.1,SRR2189226.2218039.1,SRR2189226.1078066.2,SRR2189226.2218039.2	
BACT_539|gi|238922432|ref|NC_012781.1|	1126899	1128826	SRR2189226.145423.1,SRR2189226.28187.1,SRR2189226.2895460.1,SRR2189226.2895460.2,SRR2189226.3791919.2	SRR2189226.3939702,SRR2189226.1412552,SRR2189226.5127972,SRR2189226.145040,SRR2189226.3713061
BACT_183|gi|197304101|ref|NZ_ABQC02000021.1|	184865	186761	SRR2189226.1484010.1,SRR2189226.1771300.1,SRR2189226.2724951.1,SRR2189226.2635865.2,SRR2189226.2803854.2	SRR2189226.2635865
BACT_194|gi|163805997|ref|NZ_ABFZ02000023.1|	438325	439650	SRR2189226.1723676.1,SRR2189226.3613001.1,SRR2189226.4773578.2,SRR2189226.646434.2	SRR2189226.4445894
BACT_1002|gi|224993842|ref|NZ_ACFY01000151.1|	2971	6357	SRR2189226.147446.1,SRR2189226.1542930.1,SRR2189226.1928554.1,SRR2189226.2334292.1,SRR2189226.3326618.1,SRR2189226.3932452.1,SRR2189226.4486479.1,SRR2189226.4635047.1,SRR2189226.1542930.2,SRR2189226.3326618.2,SRR2189226.5211130.2,SRR2189226.82796.2,SRR2189226.931417.2,SRR2189226.960973.2	SRR2189226.3110643,SRR2189226.3435424,SRR2189226.3436019,SRR2189226.2354907,SRR2189226.2291960,SRR2189226.2271408,SRR2189226.4857946,SRR2189226.315320,SRR2189226.1085653,SRR2189226.4175040
BACT_282|gi|226334739|ref|NZ_ABWN01000020.1|	37411	44914	SRR2189226.1233116.1,SRR2189226.1591862.1,SRR2189226.1799827.1,SRR2189226.2895136.1,SRR2189226.3801335.1,SRR2189226.1085659.2,SRR2189226.152944.2,SRR2189226.2844376.2,SRR2189226.402929.2,SRR2189226.5052712.2	
BACT_539|gi|238922432|ref|NC_012781.1|	3131821	3136092	SRR2189226.1463974.1,SRR2189226.1773394.1,SRR2189226.447560.1,SRR2189226.468268.2	
