Scaffolds	Split Site 1	Split Site 2	Supporting Split Reads	Supporting Read Pairs(first in pair)
BACT_196|gi|150002608|ref|NC_009614.1|	1646547	1649077	SRR2193889.146011.1,SRR2193889.1989940.1,SRR2193889.2055348.1,SRR2193889.2726935.1,SRR2193889.2813671.1,SRR2193889.2949034.1,SRR2193889.576089.1,SRR2193889.146011.2,SRR2193889.1557654.2,SRR2193889.1671845.2,SRR2193889.2166169.2,SRR2193889.218968.2,SRR2193889.2814974.2,SRR2193889.541413.2,SRR2193889.572411.2	SRR2193889.1277415,SRR2193889.1051520,SRR2193889.2814974
BACT_1021|gi|146386227|ref|NZ_AAYG02000011.1|	33831	35684	SRR2193889.597857.1,SRR2193889.1031999.2,SRR2193889.2810218.2,SRR2193889.626148.2	SRR2193889.281459,SRR2193889.626148,SRR2193889.1178733
BACT_1312|gi|293371863|ref|NZ_ADMO01000094.1|	15204	17309	SRR2193889.1524912.1,SRR2193889.1743245.1,SRR2193889.2863693.1,SRR2193889.1524912.2,SRR2193889.1743245.2,SRR2193889.2004131.2	SRR2193889.1633604
BACT_1021|gi|146386233|ref|NZ_AAYG02000017.1|	15575	54785	SRR2193889.1728170.1,SRR2193889.1957392.1,SRR2193889.2180593.1,SRR2193889.2627128.1,SRR2193889.2733482.1,SRR2193889.2905346.1,SRR2193889.661785.1,SRR2193889.1165382.2,SRR2193889.2627128.2,SRR2193889.511027.2	SRR2193889.1165382
BACT_1021|gi|146386239|ref|NZ_AAYG02000023.1|	43380	44428	SRR2193889.2381347.1,SRR2193889.827705.1,SRR2193889.2149740.2,SRR2193889.2279571.2	SRR2193889.2149740,SRR2193889.1137329
BACT_1021|gi|146386248|ref|NZ_AAYG02000032.1|	119849	121483	SRR2193889.1258754.1,SRR2193889.1880227.1,SRR2193889.2242551.1,SRR2193889.1012407.2,SRR2193889.322195.2	SRR2193889.1739817,SRR2193889.1012407
BACT_1021|gi|146386232|ref|NZ_AAYG02000016.1|	28974	64467	SRR2193889.1141451.1,SRR2193889.1467988.1,SRR2193889.2530903.1,SRR2193889.326309.1,SRR2193889.1043256.2,SRR2193889.1141451.2,SRR2193889.2705565.2,SRR2193889.2910252.2,SRR2193889.492526.2,SRR2193889.964636.2,SRR2193889.983000.2	SRR2193889.492526,SRR2193889.2599426,SRR2193889.2705565
BACT_1021|gi|146386218|ref|NZ_AAYG02000002.1|	52528	98490	SRR2193889.1850646.2,SRR2193889.2161035.2,SRR2193889.2856443.2,SRR2193889.2951226.2	SRR2193889.2951226,SRR2193889.2474619
BACT_1021|gi|146386226|ref|NZ_AAYG02000010.1|	14996	45499	SRR2193889.1657458.1,SRR2193889.1943098.1,SRR2193889.2763265.1,SRR2193889.1657458.2,SRR2193889.2076208.2,SRR2193889.58820.2	SRR2193889.2293608,SRR2193889.684181,SRR2193889.2076208
BACT_1021|gi|146386243|ref|NZ_AAYG02000027.1|	100932	102261	SRR2193889.2917793.1,SRR2193889.534108.1,SRR2193889.1151281.2,SRR2193889.2506613.2,SRR2193889.2899687.2,SRR2193889.887430.2	SRR2193889.2701202,SRR2193889.887430
