Scaffolds	Split Site 1	Split Site 2	Supporting Split Reads	Supporting Read Pairs(first in pair)
BACT_539|gi|238922432|ref|NC_012781.1|	696646	739525	SRR2193919.4295227.1,SRR2193919.6128572.1,SRR2193919.3020628.2,SRR2193919.5823447.2,SRR2193919.6128572.2	SRR2193919.3020628
BACT_1002|gi|224993717|ref|NZ_ACFY01000026.1|	15061	20521	SRR2193919.2476353.1,SRR2193919.436138.1,SRR2193919.5430412.1,SRR2193919.436138.2	
BACT_194|gi|163805994|ref|NZ_ABFZ02000020.1|	659146	660471	SRR2193919.2925301.1,SRR2193919.5695576.1,SRR2193919.573659.1,SRR2193919.636757.1,SRR2193919.3896328.2,SRR2193919.5695576.2	SRR2193919.1412503
BACT_418|gi|139439345|ref|NZ_AAVN02000008.1|	6287	7709	SRR2193919.3445404.1,SRR2193919.87232.1,SRR2193919.3445404.2,SRR2193919.633314.2	SRR2193919.633314
BACT_194|gi|163805984|ref|NZ_ABFZ02000010.1|	29254	30579	SRR2193919.2946880.1,SRR2193919.2669315.2,SRR2193919.4478027.2,SRR2193919.4943355.2	SRR2193919.4943355
BACT_196|gi|150002608|ref|NC_009614.1|	1646547	1649077	SRR2193919.1187549.1,SRR2193919.268061.1,SRR2193919.3310531.1,SRR2193919.3974983.1,SRR2193919.5305101.1,SRR2193919.5517970.1,SRR2193919.5547789.1,SRR2193919.5616768.1,SRR2193919.63026.1,SRR2193919.2245973.2,SRR2193919.2949764.2	SRR2193919.2557758,SRR2193919.2165727,SRR2193919.1033428,SRR2193919.173053,SRR2193919.361353,SRR2193919.3286179
BACT_1002|gi|224993784|ref|NZ_ACFY01000093.1|	10027	11134	SRR2193919.325759.1,SRR2193919.3302679.1,SRR2193919.36220.1,SRR2193919.3302679.2,SRR2193919.36220.2,SRR2193919.5482916.2	SRR2193919.4328370
BACT_1002|gi|224993782|ref|NZ_ACFY01000091.1|	48562	50309	SRR2193919.1358030.1,SRR2193919.2151817.1,SRR2193919.2296038.1,SRR2193919.3625328.1,SRR2193919.2296038.2	
BACT_1312|gi|293371863|ref|NZ_ADMO01000094.1|	15204	17309	SRR2193919.1203828.1,SRR2193919.2799090.1,SRR2193919.2863881.1,SRR2193919.4448079.1,SRR2193919.5050880.1,SRR2193919.888597.1,SRR2193919.2799090.2,SRR2193919.3331751.2,SRR2193919.3843414.2,SRR2193919.4448079.2	SRR2193919.2645068
BACT_539|gi|238922432|ref|NC_012781.1|	1126899	1128826	SRR2193919.4746445.1,SRR2193919.5161235.1,SRR2193919.2727941.2,SRR2193919.5460529.2	SRR2193919.5580074,SRR2193919.5460529,SRR2193919.5282568
BACT_1023|gi|138310566|ref|NZ_AAVO02000011.1|	92761	95582	SRR2193919.1138361.1,SRR2193919.472656.1,SRR2193919.1484565.2,SRR2193919.472656.2	
BACT_1002|gi|224993842|ref|NZ_ACFY01000151.1|	2971	6357	SRR2193919.4065338.1,SRR2193919.4518848.1,SRR2193919.1051522.2,SRR2193919.3568406.2,SRR2193919.4065338.2,SRR2193919.5138176.2	SRR2193919.1051522,SRR2193919.6106514,SRR2193919.3758674
BACT_1002|gi|224993782|ref|NZ_ACFY01000091.1|	63141	85830	SRR2193919.4634235.1,SRR2193919.4772441.1,SRR2193919.4634235.2,SRR2193919.5783164.2	SRR2193919.5783164
BACT_546|gi|160944587|ref|NZ_ABED02000028.1|	113442	114904	SRR2193919.2672730.1,SRR2193919.2784349.1,SRR2193919.2784349.2,SRR2193919.4633873.2	
BACT_418|gi|139436870|ref|NZ_AAVN02000001.1|	296601	298139	SRR2193919.1088054.1,SRR2193919.1170759.1,SRR2193919.3058651.1,SRR2193919.716911.1,SRR2193919.3058651.2,SRR2193919.3978980.2,SRR2193919.4429371.2,SRR2193919.738581.2	
