Scaffolds	Split Site 1	Split Site 2	Supporting Split Reads	Supporting Read Pairs(first in pair)
BACT_194|gi|163805996|ref|NZ_ABFZ02000022.1|	281397	282722	SRR2187353.6053496.1,SRR2187353.1150770.2,SRR2187353.1285257.2,SRR2187353.4953855.2,SRR2187353.6053496.2	SRR2187353.1285257,SRR2187353.3750407
BACT_418|gi|139436870|ref|NZ_AAVN02000001.1|	376164	377526	SRR2187353.193273.1,SRR2187353.452954.1,SRR2187353.193273.2,SRR2187353.2780373.2	
BACT_194|gi|163805994|ref|NZ_ABFZ02000020.1|	659146	660471	SRR2187353.3249515.1,SRR2187353.6702038.1,SRR2187353.741914.1,SRR2187353.1670454.2,SRR2187353.3249515.2,SRR2187353.5404286.2,SRR2187353.6489591.2,SRR2187353.6702038.2,SRR2187353.741914.2	SRR2187353.3353115,SRR2187353.1670454
BACT_194|gi|163805994|ref|NZ_ABFZ02000020.1|	325232	326695	SRR2187353.2799669.1,SRR2187353.3386930.1,SRR2187353.6072272.1,SRR2187353.2799669.2,SRR2187353.3386930.2	SRR2187353.1989751
BACT_539|gi|238922432|ref|NC_012781.1|	1493480	1495385	SRR2187353.1146603.1,SRR2187353.1155318.1,SRR2187353.2360298.1,SRR2187353.3245421.1,SRR2187353.952438.2	
BACT_196|gi|150002608|ref|NC_009614.1|	1646547	1649077	SRR2187353.5724368.1,SRR2187353.121597.2,SRR2187353.1320171.2,SRR2187353.5724368.2,SRR2187353.6372986.2	SRR2187353.6735422,SRR2187353.121597
BACT_194|gi|163805984|ref|NZ_ABFZ02000010.1|	29254	30579	SRR2187353.2297495.1,SRR2187353.2708791.1,SRR2187353.6691641.1,SRR2187353.870519.1,SRR2187353.2708791.2,SRR2187353.2729613.2,SRR2187353.6594815.2	
BACT_1002|gi|224993722|ref|NZ_ACFY01000031.1|	4235	7513	SRR2187353.4079275.1,SRR2187353.5163925.1,SRR2187353.1662736.2,SRR2187353.5163925.2	
BACT_413|gi|163805965|ref|NZ_ABGC03000034.1|	64896	127479	SRR2187353.319134.1,SRR2187353.3567558.1,SRR2187353.3567558.2,SRR2187353.3652390.2	SRR2187353.2076346,SRR2187353.5179489
BACT_413|gi|163805963|ref|NZ_ABGC03000032.1|	139265	140839	SRR2187353.1276305.1,SRR2187353.127012.2,SRR2187353.3424113.2,SRR2187353.547628.2	SRR2187353.547628,SRR2187353.3424113
BACT_413|gi|163805973|ref|NZ_ABGC03000042.1|	381974	384899	SRR2187353.4273306.1,SRR2187353.5453561.1,SRR2187353.5722786.1,SRR2187353.3064793.2,SRR2187353.3288250.2	SRR2187353.3288250
BACT_1001|gi|239935061|ref|NZ_ABYJ02000254.1|	11310	13336	SRR2187353.1695359.1,SRR2187353.3945257.1,SRR2187353.772620.1,SRR2187353.84179.1,SRR2187353.3293249.2,SRR2187353.4085546.2,SRR2187353.84179.2	SRR2187353.4085546
BACT_1023|gi|138310566|ref|NZ_AAVO02000011.1|	92761	95582	SRR2187353.520663.1,SRR2187353.6370477.1,SRR2187353.826678.1,SRR2187353.939553.1,SRR2187353.34897.2,SRR2187353.6033849.2,SRR2187353.787402.2,SRR2187353.826678.2,SRR2187353.85279.2	SRR2187353.6620795
BACT_194|gi|163805997|ref|NZ_ABFZ02000023.1|	410046	420673	SRR2187353.2133893.1,SRR2187353.2698241.1,SRR2187353.3645586.1,SRR2187353.4902744.1,SRR2187353.4902744.2	SRR2187353.4338126
BACT_539|gi|238922432|ref|NC_012781.1|	1900318	1902191	SRR2187353.1126751.1,SRR2187353.2897894.1,SRR2187353.186931.2,SRR2187353.2897894.2	SRR2187353.6054020
BACT_221|gi|222444353|ref|NZ_ABXX02000001.1|	540977	542990	SRR2187353.2171791.1,SRR2187353.2367107.1,SRR2187353.2792481.1,SRR2187353.4545860.1	SRR2187353.6633552
BACT_221|gi|222444354|ref|NZ_ABXX02000002.1|	151318	152514	SRR2187353.1427845.1,SRR2187353.466349.1,SRR2187353.6161065.1,SRR2187353.739725.1,SRR2187353.168956.2,SRR2187353.6161065.2,SRR2187353.6369039.2	SRR2187353.2548492,SRR2187353.1155649,SRR2187353.1344714,SRR2187353.168956
BACT_546|gi|160942803|ref|NZ_ABED02000015.1|	35450	37788	SRR2187353.2644783.2,SRR2187353.3470399.2,SRR2187353.5235869.2,SRR2187353.569204.2	SRR2187353.5910340,SRR2187353.3470399,SRR2187353.5235869
BACT_546|gi|160944587|ref|NZ_ABED02000028.1|	113442	114904	SRR2187353.4213913.1,SRR2187353.5242741.1,SRR2187353.1671613.2,SRR2187353.2749578.2,SRR2187353.3293197.2,SRR2187353.4720092.2,SRR2187353.5741701.2,SRR2187353.841199.2	SRR2187353.5208550,SRR2187353.5741701
BACT_413|gi|163805973|ref|NZ_ABGC03000042.1|	169339	191881	SRR2187353.1925937.1,SRR2187353.816346.1,SRR2187353.1501784.2,SRR2187353.6460540.2	SRR2187353.6152706,SRR2187353.1501784
BACT_539|gi|238922432|ref|NC_012781.1|	1069269	1071234	SRR2187353.4987537.1,SRR2187353.504271.1,SRR2187353.5447094.1,SRR2187353.130745.2	SRR2187353.3721858,SRR2187353.5536988,SRR2187353.906334
