Scaffolds	Split Site 1	Split Site 2	Supporting Split Reads	Supporting Read Pairs(first in pair)
BACT_413|gi|163805960|ref|NZ_ABGC03000029.1|	11675	19625	SRR2187350.2165265.1,SRR2187350.4493185.1,SRR2187350.4585105.1,SRR2187350.634458.1,SRR2187350.2165265.2,SRR2187350.2715316.2,SRR2187350.2912060.2,SRR2187350.938924.2	SRR2187350.2715316,SRR2187350.2968503,SRR2187350.629452
BACT_1002|gi|224993717|ref|NZ_ACFY01000026.1|	15061	20521	SRR2187350.1856069.1,SRR2187350.1393709.2,SRR2187350.1856069.2,SRR2187350.4244442.2	SRR2187350.4244442
BACT_413|gi|163805958|ref|NZ_ABGC03000027.1|	9527	12666	SRR2187350.5070484.1,SRR2187350.3069147.2,SRR2187350.5070484.2,SRR2187350.705306.2	
BACT_1002|gi|224993861|ref|NZ_ACFY01000170.1|	38387	41441	SRR2187350.4046935.1,SRR2187350.1227003.2,SRR2187350.2277025.2,SRR2187350.4046935.2,SRR2187350.4417120.2,SRR2187350.59478.2	SRR2187350.1636419,SRR2187350.1227003
BACT_539|gi|238922432|ref|NC_012781.1|	1493480	1495385	SRR2187350.4246824.1,SRR2187350.1204165.2,SRR2187350.1821251.2,SRR2187350.2317377.2,SRR2187350.2953839.2,SRR2187350.5318621.2	SRR2187350.1318876,SRR2187350.1204165,SRR2187350.1657296
BACT_539|gi|238922432|ref|NC_012781.1|	3209542	3211447	SRR2187350.4181601.1,SRR2187350.5088775.1,SRR2187350.3058963.2,SRR2187350.5239523.2	
BACT_546|gi|160943395|ref|NZ_ABED02000021.1|	21439	31255	SRR2187350.2919312.1,SRR2187350.458069.1,SRR2187350.4345595.2,SRR2187350.4531055.2,SRR2187350.5148632.2	SRR2187350.4032766,SRR2187350.4531055
BACT_413|gi|163805973|ref|NZ_ABGC03000042.1|	480460	482065	SRR2187350.1343405.1,SRR2187350.1524866.1,SRR2187350.1674249.1,SRR2187350.1343405.2,SRR2187350.1524866.2,SRR2187350.4923968.2	SRR2187350.4847528,SRR2187350.1250474
BACT_539|gi|238922432|ref|NC_012781.1|	1151184	1187806	SRR2187350.4053319.1,SRR2187350.420873.1,SRR2187350.4485584.1,SRR2187350.4053319.2	SRR2187350.4525111,SRR2187350.988351
BACT_1002|gi|224993722|ref|NZ_ACFY01000031.1|	4235	7513	SRR2187350.3029104.1,SRR2187350.3994797.1,SRR2187350.4806634.1,SRR2187350.112470.2,SRR2187350.3029104.2,SRR2187350.3688595.2	SRR2187350.436325
BACT_413|gi|163805951|ref|NZ_ABGC03000020.1|	29255	30830	SRR2187350.2635849.1,SRR2187350.3191120.1,SRR2187350.2245150.2,SRR2187350.2560676.2,SRR2187350.2635849.2,SRR2187350.4142632.2,SRR2187350.5172622.2	
BACT_1002|gi|224993782|ref|NZ_ACFY01000091.1|	48562	50309	SRR2187350.2495535.1,SRR2187350.741166.1,SRR2187350.2495535.2,SRR2187350.4021475.2	
BACT_1002|gi|224993784|ref|NZ_ACFY01000093.1|	10027	11134	SRR2187350.2086142.1,SRR2187350.3000148.1,SRR2187350.3750647.1,SRR2187350.3818943.1,SRR2187350.834612.1	
BACT_413|gi|163805942|ref|NZ_ABGC03000011.1|	12689	14562	SRR2187350.1936254.1,SRR2187350.3127282.1,SRR2187350.1216290.2,SRR2187350.2963325.2,SRR2187350.3127282.2,SRR2187350.4190006.2	SRR2187350.1216290
