Scaffolds	Split Site 1	Split Site 2	Supporting Split Reads	Supporting Read Pairs(first in pair)
BACT_178|gi|239514076|ref|NZ_ABXI02000031.1|	102545	145374	SRR2193766.245205.1,SRR2193766.3121483.1,SRR2193766.961414.1,SRR2193766.3002051.2,SRR2193766.3121483.2,SRR2193766.3846504.2	
BACT_178|gi|239514053|ref|NZ_ABXI02000008.1|	2503	11156	SRR2193766.1315754.1,SRR2193766.132415.1,SRR2193766.3229062.1,SRR2193766.4432179.1,SRR2193766.5177630.1,SRR2193766.1175700.2,SRR2193766.1998929.2,SRR2193766.244814.2,SRR2193766.429704.2,SRR2193766.494681.2	
BACT_413|gi|163805963|ref|NZ_ABGC03000032.1|	139265	140839	SRR2193766.1972613.1,SRR2193766.2195847.1,SRR2193766.2317891.1,SRR2193766.2409900.1,SRR2193766.4042040.1,SRR2193766.2409900.2,SRR2193766.3298778.2	SRR2193766.795714
BACT_183|gi|197304099|ref|NZ_ABQC02000019.1|	218067	219572	SRR2193766.1426565.1,SRR2193766.3315483.1,SRR2193766.4135161.1,SRR2193766.2934665.2	SRR2193766.519187,SRR2193766.2934665
BACT_413|gi|163805962|ref|NZ_ABGC03000031.1|	9187	10671	SRR2193766.400376.1,SRR2193766.4073482.1,SRR2193766.4076893.1,SRR2193766.5161615.1,SRR2193766.94163.1,SRR2193766.363264.2,SRR2193766.4073482.2,SRR2193766.4076893.2,SRR2193766.94163.2	SRR2193766.2120589,SRR2193766.665564
BACT_413|gi|163805973|ref|NZ_ABGC03000042.1|	80090	82818	SRR2193766.1550218.1,SRR2193766.2449707.1,SRR2193766.2456610.1,SRR2193766.1353589.2,SRR2193766.2456610.2	SRR2193766.2555556
BACT_424|gi|224983092|ref|NZ_ABVR01000038.1|	109184	122796	SRR2193766.2858433.1,SRR2193766.2361315.2,SRR2193766.2858433.2,SRR2193766.4393310.2,SRR2193766.4970657.2	
BACT_413|gi|163805971|ref|NZ_ABGC03000040.1|	113552	115686	SRR2193766.2057537.1,SRR2193766.4609892.1,SRR2193766.1104258.2,SRR2193766.3408288.2,SRR2193766.889416.2	SRR2193766.889416
BACT_183|gi|197304104|ref|NZ_ABQC02000024.1|	601344	602848	SRR2193766.1129457.1,SRR2193766.1611272.1,SRR2193766.3310006.1,SRR2193766.3864612.1,SRR2193766.4549810.1,SRR2193766.4386032.2	SRR2193766.2028380,SRR2193766.575507,SRR2193766.1387514,SRR2193766.4663407
BACT_183|gi|197304083|ref|NZ_ABQC02000003.1|	84760	86264	SRR2193766.4730347.1,SRR2193766.108951.2,SRR2193766.3948296.2,SRR2193766.4730347.2	SRR2193766.3948296
BACT_183|gi|197304099|ref|NZ_ABQC02000019.1|	405910	407414	SRR2193766.2807806.1,SRR2193766.234049.2,SRR2193766.2829126.2,SRR2193766.334909.2,SRR2193766.4758813.2	
BACT_413|gi|163805972|ref|NZ_ABGC03000041.1|	36784	83369	SRR2193766.2697264.1,SRR2193766.3170827.1,SRR2193766.599399.1,SRR2193766.3349485.2,SRR2193766.599399.2	SRR2193766.706397
BACT_413|gi|163805973|ref|NZ_ABGC03000042.1|	169339	191881	SRR2193766.1365730.1,SRR2193766.3398830.1,SRR2193766.1222467.2,SRR2193766.3398830.2	SRR2193766.1663309
