Scaffolds	Split Site 1	Split Site 2	Supporting Split Reads	Supporting Read Pairs(first in pair)
BACT_413|gi|163805960|ref|NZ_ABGC03000029.1|	11675	19625	SRR2187354.2730767.1,SRR2187354.3578801.1,SRR2187354.704450.1,SRR2187354.85157.1,SRR2187354.866248.1,SRR2187354.3578801.2,SRR2187354.704450.2,SRR2187354.866248.2	SRR2187354.5200797,SRR2187354.4309929,SRR2187354.924715
BACT_539|gi|238922432|ref|NC_012781.1|	2043282	2044621	SRR2187354.2213743.1,SRR2187354.2751322.1,SRR2187354.3339376.2,SRR2187354.5093960.2	
BACT_413|gi|163805958|ref|NZ_ABGC03000027.1|	9527	12666	SRR2187354.1728125.1,SRR2187354.2754647.1,SRR2187354.4173486.1,SRR2187354.4409823.1,SRR2187354.4508576.1,SRR2187354.4559462.1,SRR2187354.5262415.1,SRR2187354.5359737.1,SRR2187354.5559083.1,SRR2187354.134571.2,SRR2187354.1728125.2,SRR2187354.1729315.2,SRR2187354.2132489.2,SRR2187354.2404886.2,SRR2187354.350051.2,SRR2187354.3679431.2,SRR2187354.4559462.2,SRR2187354.5559083.2,SRR2187354.5704409.2	SRR2187354.1729315
BACT_413|gi|163805960|ref|NZ_ABGC03000029.1|	53790	72413	SRR2187354.1145715.1,SRR2187354.1207372.1,SRR2187354.4274085.1,SRR2187354.2282088.2,SRR2187354.817284.2,SRR2187354.887673.2	SRR2187354.3856001,SRR2187354.5626447,SRR2187354.817284
BACT_539|gi|238922432|ref|NC_012781.1|	3209542	3211447	SRR2187354.5096110.1,SRR2187354.1332835.2,SRR2187354.3587199.2,SRR2187354.4701537.2,SRR2187354.546076.2,SRR2187354.774385.2	SRR2187354.4381917,SRR2187354.3587199
BACT_539|gi|238922432|ref|NC_012781.1|	1493480	1495385	SRR2187354.1450986.1,SRR2187354.2458677.1,SRR2187354.388741.1,SRR2187354.2458677.2	SRR2187354.1231410,SRR2187354.690026
BACT_413|gi|163805942|ref|NZ_ABGC03000011.1|	12689	14562	SRR2187354.3288594.1,SRR2187354.663808.1,SRR2187354.1395361.2,SRR2187354.1809628.2,SRR2187354.3288594.2	SRR2187354.1395361,SRR2187354.1809628
BACT_413|gi|163805963|ref|NZ_ABGC03000032.1|	139265	140839	SRR2187354.2839665.1,SRR2187354.3379633.1,SRR2187354.5873013.1,SRR2187354.652201.1,SRR2187354.1305538.2,SRR2187354.139415.2,SRR2187354.2007405.2,SRR2187354.3818361.2,SRR2187354.4749854.2,SRR2187354.652201.2	SRR2187354.551053,SRR2187354.1305538
BACT_413|gi|163805951|ref|NZ_ABGC03000020.1|	29255	30830	SRR2187354.2382894.1,SRR2187354.2765007.1,SRR2187354.5583512.1,SRR2187354.5888723.1,SRR2187354.1118633.2,SRR2187354.281606.2,SRR2187354.2950362.2,SRR2187354.3034598.2	SRR2187354.1275903,SRR2187354.1083745,SRR2187354.3034598,SRR2187354.360006,SRR2187354.2888023,SRR2187354.2950362,SRR2187354.1118633
BACT_413|gi|163805965|ref|NZ_ABGC03000034.1|	64896	127479	SRR2187354.1813658.1,SRR2187354.4575374.1,SRR2187354.1813658.2,SRR2187354.3339078.2	SRR2187354.3339078
BACT_1002|gi|224993722|ref|NZ_ACFY01000031.1|	4235	7513	SRR2187354.1285428.1,SRR2187354.3855101.1,SRR2187354.1285428.2,SRR2187354.5682414.2	SRR2187354.5380031,SRR2187354.5682414
